 
10.18.200.211 - - [21/Mar/2020:22:04:51 +0700] "GET / HTTP/1.1" 200 12513 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
10.18.200.211 - - [21/Mar/2020:22:05:20 +0700] "GET / HTTP/1.1" 200 12513 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
10.18.200.211 - - [21/Mar/2020:22:05:51 +0700] "GET /wp-content/plugins/slideshow-gallery/css/colorbox.css?ver=1.3.19 HTTP/1.1" 200 4539 "http://10.1.2.111/" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
10.18.200.211 - - [21/Mar/2020:22:05:51 +0700] "GET /wp-content/themes/nu-white/style.css?ver=4.0.24 HTTP/1.1" 200 47066 "http://10.1.2.111/" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
10.18.200.211 - - [21/Mar/2020:22:05:51 +0700] "GET /wp-content/plugins/slideshow-gallery/js/gallery.js?ver=1.0 HTTP/1.1" 200 6804 "http://10.1.2.111/" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
10.18.200.211 - - [21/Mar/2020:22:05:51 +0700] "GET /wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1 HTTP/1.1" 200 7200 "http://10.1.2.111/" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
10.18.200.211 - - [21/Mar/2020:22:05:51 +0700] "GET /wp-content/themes/nu-white/js/navigation.js?ver=20120206 HTTP/1.1" 200 132 "http://10.1.2.111/" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
10.18.200.211 - - [21/Mar/2020:22:05:51 +0700] "GET /wp-content/plugins/jetpack/css/jetpack.css?ver=3.2.1 HTTP/1.1" 200 52928 "http://10.1.2.111/" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
10.18.200.211 - - [21/Mar/2020:22:05:51 +0700] "GET /wp-content/plugins/slideshow-gallery/js/colorbox.js?ver=1.3.19 HTTP/1.1" 200 28444 "http://10.1.2.111/" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
10.18.200.211 - - [21/Mar/2020:22:05:51 +0700] "GET /wp-includes/js/jquery/jquery.js?ver=1.11.1 HTTP/1.1" 200 95807 "http://10.1.2.111/" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
10.18.200.211 - - [21/Mar/2020:22:05:53 +0700] "GET /wp-content/themes/nu-white/img/flat-social-icons/32px/LinkedIn-32.png HTTP/1.1" 200 4196 "http://greek.spenlab.local/wp-content/themes/nu-white/style.css?ver=4.0.24" "Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0"
